theme,themeurl,author,journal,jrurl,year,cites,downloads
系统性红斑狼疮患者外周血单个核细胞中微管相关蛋白轻链3和溶酶体相关膜蛋白2基因表达及其临床意义,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF9AE5A532AE3FE2DCADDC34BACD023A7C6225F6ABFFB90C8FDB4D9B05C2582BCD,吴邱红,《中华临床免疫和变态反应杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhlcmyhbtfyzz,2018,0,1
过渡金属-氮活性位点在二氧化碳电化学还原反应中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8BB3C94981EC01EF9784E83D06414F4D44B207EF33528462,阎程程,《催化学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=cuihuaxb,2019,0,4
血清维生素D水平与原发性高血压患者血管内皮功能及血浆肾素活性的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF226EE32ADD3108585157B1407C8AE72F7160CFBA9BA67FFE,李春莉,《西安交通大学学报（医学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xaykdxxb,2018,0,36
党的十九大精神融入研究生思想政治理论课专题教学研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFF6D198CB7331D0481C6BC272C4DF2D03CE0C283AE9CF44F1,刘建民,《继续教育研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=jxjyyj,2018,0,11
"""没有""的诗学与雨水的可能性——论黄锦树的《雨》",g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF53299D7FA74CAA2FA61BA16104A6F7DFB201677D17A0C195,李强,《芒种》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mz,2019,0,0
"读书笔记Ⅰ:""音乐的耳朵""与超生物性感官 ——重读马克思《1844年经济学哲学手稿》相关内容并 及赵宋光人类学本体论思想讨论",g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFEF36A5F8EA35F0C4C17B27999AFF30D3CCB2F47D17A692C8,韩锺恩,《星海音乐学院学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xhyyxyxb,2018,0,2
单宁酸的生物学特征及在医学和口腔医学领域的应用价值,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C939C2C1A994C952F6FB,卞雨晴,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
可逆氧催化性能提升的FeS2/NiS2纳米复合物的合成及其在锌空电池中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8BB3C94981EC01EF9784E83D06414F4D5DDBB1A9C2471D92,靳晶,《催化学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=cuihuaxb,2019,0,0
诱导多能性干细胞的获取及其在口腔组织再生中的作用及应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B842CB9F1A261E44BB8,邵苗苗,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
植物多药和有毒化合物排出转运蛋白研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5BCBD9F778667ABEF8599E9FAA074D253271C1BD8048CBAE,吴远双,《广西植物》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gxzw,2018,0,0
骨关节炎基因差异谱的生物信息学分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9A93A5B86CEE46FA0B,董政权,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,21
石墨烯在骨组织工程中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C9398CC392C8394926C6,张骏,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,7
禅意的修行(组诗),g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF53299D7FA74CAA2FEB6800EEA3DC613EB201677D17A0C195,冯玥瑛,《芒种》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mz,2019,0,0
"华语文学的""中国叙事""",g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF53299D7FA74CAA2FF8E01F3CE1B7CD69B201677D17A0C195,陈晓明,《芒种》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mz,2019,0,0
类风湿性关节炎的免疫学指标的应用研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF9AA970885987492A3D06C8E552496D508CC392C8394926C6,龙贞亦,《广西医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gxyx,2018,0,376
基于物联网的食品安全风险监测系统的研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C71DEDF545F14DCBDDB201677D17A0C195,段乃侠,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,74
公众环保参与机制的构建:困境制约、理论基础与破解对策---基于集体行动的逻辑理论视角,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF2131955DEF03EBB83F4EEFCE6E704950D24DE99B74F23D86,李冬冬,《现代管理科学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdglkx,2018,0,7
生物打印具有微网络流体通道的三维结构,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C939D5F76FC4DFB3F8D4,邹强,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,1
银离子敷料治疗糖尿病足溃疡疗效的Meta分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C9392CB9F1A261E44BB8,黄锐娜,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,2
小鼠慢性根尖周炎中RANKL的表达,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D2D087DCCA660FE9AC06B240E1FA1984A,仉红,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,16
木质素在聚乙二醇水溶剂体系中的溶解行为,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF68427AA4B8933490382E0CB96D7FC961DA8A414A561340CC,陈琳,《河南科技大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lygxyxb,2019,0,4
骨髓基质干细胞与纳米羟基磷灰石的相互作用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929D875F2CB5236A3B848CC392C8394926C6,李璐,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
土壤对管道纵模导波传播特性的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF68427AA4B8933490382E0CB96D7FC9612CB9FE0200A6F4A1,蔡海潮,《河南科技大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lygxyxb,2019,0,2
进入大自然的笔尖(外一篇),g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF53299D7FA74CAA2F3867AB4649AF1489B201677D17A0C195,远人,《芒种》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mz,2019,0,1
不完美信息博弈中对手模型的研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF68427AA4B8933490382E0CB96D7FC9613AF3687DB4B7372E,吴天栋,《河南科技大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lygxyxb,2019,0,1
考虑风电不确定性的微电网小时前最优调度,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF68427AA4B8933490382E0CB96D7FC961BC41EDC7369DC3BF,丰阔,《河南科技大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lygxyxb,2019,0,1
非自治BVP系统的两尺度效应分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF68427AA4B8933490382E0CB96D7FC961762E5366027880FA,李晓宁,《河南科技大学学报（自然科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=lygxyxb,2019,0,2
一维纳米材料在能源电催化中的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8BB3C94981EC01EF9784E83D06414F4DF39E40C7A7E36255,李苹,《催化学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=cuihuaxb,2019,0,4
运用液体流动装置模拟的流体剪切应力下骨髓瘤细胞对骨细胞、破骨细胞和骨细胞表达RANKL的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DE2669693D862C9393271C1BD8048CBAE,王晓桃,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2019,0,0
运动营养品中的有机酸对体育运动能力的提升作用及检测技术研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C75FBFB7AB8804CA5DB201677D17A0C195,任祥钰,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,32
分化型甲状腺癌患者的NIS表达情况及其与甲状腺超声特征的关系,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD133646CC486FCF678A048,吕彦利,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,6
糖尿病病程对合并糖尿病的白内障患者眼表的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFD7F76A4A71348011780AFAE6E17ED9BD20CE79BA55E7B0FA,王睿,《国际眼科杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=mzgjykzz,2018,0,4
基于现代信息技术的学校餐厅食品安全管理信息系统的设计,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C7D7E39722A206863FB201677D17A0C195,周鹏,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,131
以名义团体的研究方法探究中国健康工作者对医生职业素养的认识,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF3EA724ADB94F4946102A9C6F676464BD1EE6AC6114769A55,李佳宁,《基础医学与临床》,g.wanfangdata.com.cn/perio/detail.do?perio_id=jcyxylc,2018,0,2
全程追溯制度下的食品企业与政府的演化博弈分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFAD8803873B22929957B45F5F2C34041FF227262109DC92A60032146A44C7FDAE,宋焕,《大连理工大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=dllgdxxb-shkxb,2018,0,175
东北酸菜的发酵工艺及使用食品抗氧化剂和防腐剂的必要性,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C775CFDD3368D4096DB201677D17A0C195,李继文,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,36
合并生殖器受累的过敏性紫癜男性患儿的临床特征及危险因素,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF9AA970885987492A3D06C8E552496D5099CCAFB3AE41F369,赵其星,《广西医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gxyx,2018,0,32
心肌线粒体蛋白质组学中的双向电泳及硝酸银染色方法的优化,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF3EA724ADB94F4946102A9C6F676464BDAC1DCF0B021CE32D,魏义勇,《基础医学与临床》,g.wanfangdata.com.cn/perio/detail.do?perio_id=jcyxylc,2018,0,0
高效液相色谱法测定饮料中三氯蔗糖的含量的优化,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C754C2C36D1FC9CCBBB201677D17A0C195,李桑,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,6
DNMT1在卵巢癌组织中的表达及其对卵巢癌细胞增殖和迁移的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA9BF22E6EC338EDFA1753DBAE47971937D259DF070C760D1,李洁,《现代肿瘤医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sxzlyx,2018,0,12
n-3多不饱和脂肪酸的抗癌功效及其生物学机制的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA9BF22E6EC338EDFA1753DBAE47971939B9958BB247A79CC,贺延苓,《现代肿瘤医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sxzlyx,2018,0,1
基于结构方程模型的男男性行为人群无保护性行为的影响因素分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF82107EAF23A42AD5421C6736ACC0025551729F9915B474AF,郭静,《中华预防医学杂志》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zhyfyx,2018,0,0
基于错误损失视角的农产品第三方物流服务商的选择研究,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF4723DF4E1D949B2F919066B2DE94AEED969F399515303171668F447A5DEB2A77,黄灏然,《北京交通大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bfjtdxxb-shkx,2018,0,0
杨梅贮藏期真菌的分离鉴定及基于ITS序列的聚类分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C7D3E5E99929904FEBB201677D17A0C195,何郁菲,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,13
铁代谢及相关蛋白的miRNA在肿瘤中的研究进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA9BF22E6EC338EDFA1753DBAE47971934706E286BA3C360D,杨玉静,《现代肿瘤医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sxzlyx,2018,0,2
基于知识图谱分析跑步过程中的生物力学的变化与特征,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFADFFA701BA2C929DD83E8EDA158B510DD058192813724D31,高瞻乐,《中国组织工程研究》,g.wanfangdata.com.cn/perio/detail.do?perio_id=xdkf,2018,0,12
耕地占用税的规范审查与实施评估——基于税法基本原则的分析,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5C9CFE2D0D387519B5E07D394865882FF227262109DC92A634909F9427904DF0,聂淼,《南京工业大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=njgydxxb-shkxb,2018,0,0
免疫磁珠的制备及其在食品安全检测中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF497F75C1644E230D6181BE97B9FB33C76CC8049776F80839B201677D17A0C195,柳心梅,《食品安全质量检测学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=spaqzljcjs,2018,0,35
以夫妻为中心的分娩前宣教在分娩镇痛中的应用,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF5FA860998C2D553AB2FB050C588B1B9E79D1B56CEEE2CB80,张晓青,《中国医刊》,g.wanfangdata.com.cn/perio/detail.do?perio_id=zgyk,2018,0,0
示踪剂的不同注射方法对乳腺癌前哨淋巴结活检的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BFA9BF22E6EC338EDFA1753DBAE47971935C7444A32769954F,吴涛,《现代肿瘤医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=sxzlyx,2018,0,1
红外驱动的动态褶皱图案:一种实现智能材料表面的有效途径,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF89C06ED2E9E6390BFBC1D8FAFC95405EB76EB3D27D74BE04,麦亦勇,《功能高分子学报》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gngfzxb,2018,0,36
糖尿病足骨髓炎的诊疗进展,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF9AA970885987492A3D06C8E552496D50D058192813724D31,阿地拉·阿不都外力,《广西医学》,g.wanfangdata.com.cn/perio/detail.do?perio_id=gxyx,2018,0,401
我国对外开放的艰难起步,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF4723DF4E1D949B2F919066B2DE94AEED969F3995153031715E56BAFB72E2D807,武国友,《北京交通大学学报（社会科学版）》,g.wanfangdata.com.cn/perio/detail.do?perio_id=bfjtdxxb-shkx,2018,0,4
自我效能增强干预在骨肿瘤患者中的应用效果及对生活质量的影响,g.wanfangdata.com.cn//link.do?url=DE4A6470D66923BEC416778F5C81F0711B88F97367FDDFE3CCCC08157997495AB499823E847E2A4225C0D06758B358900BA7E502638D57BF8D5C5194DF10F9C62473CD765BD1336499F2CDD2A3A48AC2,李颂,《癌症进展》,g.wanfangdata.com.cn/perio/detail.do?perio_id=azjz,2018,0,1
