rates,coach_offs,coach_rates,win-loss,host_guest,days,game_month,rival_rates,rival_coach_offs,rival_coach_rates,coach_campions,wins-loss,rival_id,racer,label
0.183,0,29.6,-52,1,5,2,0.695,20,53.6,1,32,8,骑士,0
0.183,0,29.6,-52,0,2,11,0.244,0,23.0,0,-42,9,黄蜂,0
0.183,0,29.6,-52,1,1,2,0.244,0,23.0,0,-42,9,黄蜂,1
0.183,0,29.6,-52,1,2,12,0.47600000000000003,2,53.0,0,-4,10,开拓者,0
0.183,0,29.6,-52,0,4,1,0.47600000000000003,2,53.0,0,-4,10,开拓者,0
0.183,0,29.6,-52,1,2,2,0.47600000000000003,2,53.0,0,-4,10,开拓者,0
0.183,0,29.6,-52,0,1,4,0.47600000000000003,2,53.0,0,-4,10,开拓者,0
0.183,0,29.6,-52,1,5,12,0.32899999999999996,0,32.9,0,-28,11,国王,0
0.183,0,29.6,-52,0,1,12,0.32899999999999996,0,32.9,0,-28,11,国王,0
0.183,0,29.6,-52,1,3,2,0.32899999999999996,0,32.9,0,-28,11,国王,1
0.183,0,29.6,-52,0,2,4,0.32899999999999996,0,32.9,0,-28,11,国王,0
0.183,0,29.6,-52,1,2,12,0.537,12,54.3,0,6,12,掘金,0
0.183,0,29.6,-52,0,1,12,0.537,12,54.3,0,6,12,掘金,0
0.183,0,29.6,-52,1,2,1,0.537,12,54.3,0,6,12,掘金,0
0.183,0,29.6,-52,0,2,2,0.537,12,54.3,0,6,12,掘金,0
0.183,0,29.6,-52,1,2,3,0.537,12,54.3,0,6,12,掘金,1
0.183,0,29.6,-52,0,1,3,0.537,12,54.3,0,6,12,掘金,0
0.183,0,29.6,-52,0,1,12,0.573,7,52.1,0,12,13,公牛,0
0.183,0,29.6,-52,1,4,1,0.573,7,52.1,0,12,13,公牛,0
0.183,0,29.6,-52,0,2,12,0.622,5,48.5,0,20,14,爵士,0
0.183,0,29.6,-52,1,2,12,0.622,5,48.5,0,20,14,爵士,1
0.183,0,29.6,-52,1,3,1,0.622,5,48.5,0,20,14,爵士,0
0.183,0,29.6,-52,0,2,2,0.622,5,48.5,0,20,14,爵士,0
0.183,0,29.6,-52,1,1,3,0.622,5,48.5,0,20,14,爵士,0
0.183,0,29.6,-52,0,2,3,0.622,5,48.5,0,20,14,爵士,0
0.183,0,29.6,-52,0,3,12,0.768,12,59.3,2,44,15,活塞,0
0.183,0,29.6,-52,1,2,3,0.768,12,59.3,2,44,15,活塞,0
0.183,0,29.6,-52,0,1,1,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.183,0,29.6,-52,1,2,3,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.183,0,29.6,-52,0,2,3,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.183,0,29.6,-52,1,1,4,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.183,0,29.6,-52,1,2,1,0.341,16,52.5,1,-26,17,步行者,1
0.183,0,29.6,-52,0,2,3,0.341,16,52.5,1,-26,17,步行者,0
0.183,0,29.6,-52,1,2,2,0.634,11,54.9,0,22,18,老鹰,1
0.183,0,29.6,-52,0,1,3,0.634,11,54.9,0,22,18,老鹰,0
0.183,0,29.6,-52,0,1,2,0.317,1,39.8,0,-30,19,篮网,0
0.183,0,29.6,-52,1,2,3,0.317,1,39.8,0,-30,19,篮网,1
0.183,0,29.6,-52,1,2,2,0.561,3,45.6,0,10,20,76人,0
0.183,0,29.6,-52,0,2,3,0.561,3,45.6,0,10,20,76人,0
0.183,0,29.6,-52,0,2,3,0.634,2,46.6,0,22,21,尼克斯,0
0.183,0,29.6,-52,1,2,3,0.634,2,46.6,0,22,21,尼克斯,1
0.22,0,29.6,-46,1,195,11,0.207,13,46.0,1,-48,19,篮网,0
0.22,0,29.6,-46,0,3,11,0.207,13,46.0,1,-48,19,篮网,1
0.22,0,29.6,-46,0,2,12,0.207,13,46.0,1,-48,19,篮网,0
0.22,0,29.6,-46,1,3,12,0.207,13,46.0,1,-48,19,篮网,0
0.22,0,29.6,-46,0,1,4,0.207,13,46.0,1,-48,19,篮网,0
0.22,0,29.6,-46,0,1,11,0.5489999999999999,1,42.6,0,8,21,尼克斯,0
0.22,0,29.6,-46,1,3,12,0.5489999999999999,1,42.6,0,8,21,尼克斯,0
0.22,0,29.6,-46,0,3,2,0.5489999999999999,1,42.6,0,8,21,尼克斯,0
0.22,0,29.6,-46,1,2,2,0.5489999999999999,1,42.6,0,8,21,尼克斯,1
0.22,0,29.6,-46,1,4,3,0.5489999999999999,1,42.6,0,8,21,尼克斯,0
0.22,0,29.6,-46,0,2,4,0.5489999999999999,1,42.6,0,8,21,尼克斯,0
0.22,0,29.6,-46,0,1,11,0.6459999999999999,3,45.6,0,24,20,76人,0
0.22,0,29.6,-46,1,1,11,0.6459999999999999,3,45.6,0,24,20,76人,0
0.22,0,29.6,-46,0,1,12,0.6459999999999999,3,45.6,0,24,20,76人,0
0.22,0,29.6,-46,1,2,1,0.6459999999999999,3,45.6,0,24,20,76人,0
0.22,0,29.6,-46,0,1,3,0.6459999999999999,3,45.6,0,24,20,76人,0
0.22,0,29.6,-46,0,2,11,0.512,1,45.6,0,2,17,步行者,0
0.22,0,29.6,-46,1,2,1,0.512,1,45.6,0,2,17,步行者,1
0.22,0,29.6,-46,0,2,1,0.512,1,45.6,0,2,17,步行者,0
0.22,0,29.6,-46,1,3,3,0.512,1,45.6,0,2,17,步行者,0
0.22,0,29.6,-46,1,1,11,0.72,12,59.3,2,36,15,活塞,1
0.22,0,29.6,-46,0,1,11,0.72,12,59.3,2,36,15,活塞,0
0.22,0,29.6,-46,1,1,2,0.72,12,59.3,2,36,15,活塞,0
0.22,0,29.6,-46,0,2,2,0.72,12,59.3,2,36,15,活塞,0
0.22,0,29.6,-46,1,3,11,0.5,3,40.6,0,0,3,火箭,1
0.22,0,29.6,-46,0,1,11,0.5,3,40.6,0,0,3,火箭,0
0.22,0,29.6,-46,0,2,11,0.23199999999999998,0,23.0,0,-44,9,黄蜂,1
0.22,0,29.6,-46,1,2,4,0.23199999999999998,0,23.0,0,-44,9,黄蜂,0
0.22,0,29.6,-46,1,2,11,0.5,11,54.9,0,0,18,老鹰,0
0.22,0,29.6,-46,1,2,12,0.5,11,54.9,0,0,18,老鹰,0
0.22,0,29.6,-46,0,1,2,0.5,11,54.9,0,0,18,老鹰,0
0.22,0,29.6,-46,0,1,4,0.5,11,54.9,0,0,18,老鹰,0
0.22,0,29.6,-46,0,3,11,0.22,2,43.0,0,-46,22,魔术,0
0.22,0,29.6,-46,1,2,12,0.22,2,43.0,0,-46,22,魔术,1
0.22,0,29.6,-46,1,2,3,0.22,2,43.0,0,-46,22,魔术,1
0.22,0,29.6,-46,0,3,3,0.22,2,43.0,0,-46,22,魔术,1
0.22,0,29.6,-46,1,1,11,0.268,0,30.2,0,-38,23,森林狼,0
0.22,0,29.6,-46,0,2,12,0.268,0,30.2,0,-38,23,森林狼,1
0.22,0,29.6,-46,1,1,12,0.6709999999999999,20,70.4,11,28,13,公牛,0
0.22,0,29.6,-46,1,5,2,0.6709999999999999,20,70.4,11,28,13,公牛,0
0.22,0,29.6,-46,0,3,2,0.6709999999999999,20,70.4,11,28,13,公牛,0
0.22,0,29.6,-46,0,2,4,0.6709999999999999,20,70.4,11,28,13,公牛,0
0.22,0,29.6,-46,1,3,12,0.72,16,58.2,0,36,10,开拓者,0
0.22,0,29.6,-46,0,3,1,0.72,16,58.2,0,36,10,开拓者,0
0.22,0,29.6,-46,1,5,12,0.768,21,63.6,5,44,6,湖人,0
0.22,0,29.6,-46,0,2,1,0.768,21,63.6,5,44,6,湖人,0
0.22,0,29.6,-46,0,1,12,0.537,11,54.9,1,6,7,雄鹿,1
0.22,0,29.6,-46,0,2,1,0.537,11,54.9,1,6,7,雄鹿,0
0.22,0,29.6,-46,1,2,2,0.537,11,54.9,1,6,7,雄鹿,0
0.22,0,29.6,-46,1,2,3,0.537,11,54.9,1,6,7,雄鹿,1
0.22,0,29.6,-46,1,2,12,0.524,12,54.3,0,4,12,掘金,0
0.22,0,29.6,-46,0,2,12,0.524,12,54.3,0,4,12,掘金,0
0.22,0,29.6,-46,0,2,12,0.6709999999999999,20,60.3,0,28,14,爵士,0
0.22,0,29.6,-46,1,3,3,0.6709999999999999,20,60.3,0,28,14,爵士,1
0.22,0,29.6,-46,0,2,1,0.451,18,55.7,0,-8,5,勇士,0
0.22,0,29.6,-46,1,3,4,0.451,18,55.7,0,-8,5,勇士,0
0.22,0,29.6,-46,1,2,1,0.6829999999999999,18,54.8,1,30,2,马刺,0
0.22,0,29.6,-46,0,1,3,0.6829999999999999,18,54.8,1,30,2,马刺,0
0.22,0,29.6,-46,1,2,1,0.634,2,41.8,0,22,4,凯尔特,0
0.22,0,29.6,-46,0,1,1,0.634,2,41.8,0,22,4,凯尔特,0
0.22,0,29.6,-46,1,2,3,0.634,2,41.8,0,22,4,凯尔特,0
0.22,0,29.6,-46,1,3,4,0.634,2,41.8,0,22,4,凯尔特,0
0.22,0,29.6,-46,0,4,4,0.634,2,41.8,0,22,4,凯尔特,0
0.22,0,29.6,-46,1,2,1,0.659,12,51.8,0,26,16,太阳,0
0.22,0,29.6,-46,0,2,3,0.659,12,51.8,0,26,16,太阳,0
0.22,0,29.6,-46,1,4,1,0.512,20,53.6,1,2,8,骑士,0
0.22,0,29.6,-46,0,2,2,0.512,20,53.6,1,2,8,骑士,0
0.22,0,29.6,-46,1,2,3,0.512,20,53.6,1,2,8,骑士,0
0.22,0,29.6,-46,0,2,4,0.512,20,53.6,1,2,8,骑士,0
0.22,0,29.6,-46,1,3,2,0.366,0,35.7,0,-22,1,快船,1
0.22,0,29.6,-46,0,1,3,0.366,0,35.7,0,-22,1,快船,1
0.22,0,29.6,-46,1,2,2,0.28,0,32.9,0,-36,11,国王,1
0.22,0,29.6,-46,0,2,3,0.28,0,32.9,0,-36,11,国王,0
0.293,0,29.6,-34,1,4,11,0.585,11,54.9,1,14,7,雄鹿,0
0.293,0,29.6,-34,0,3,2,0.585,11,54.9,1,14,7,雄鹿,0
0.293,0,29.6,-34,1,2,2,0.585,11,54.9,1,14,7,雄鹿,0
0.293,0,29.6,-34,0,2,3,0.585,11,54.9,1,14,7,雄鹿,0
0.293,0,29.6,-34,0,2,11,0.317,13,46.0,1,-30,19,篮网,0
0.293,0,29.6,-34,1,2,11,0.317,13,46.0,1,-30,19,篮网,1
0.293,0,29.6,-34,1,1,1,0.317,13,46.0,1,-30,19,篮网,0
0.293,0,29.6,-34,0,4,2,0.317,13,46.0,1,-30,19,篮网,1
0.293,0,29.6,-34,1,2,3,0.317,13,46.0,1,-30,19,篮网,1
0.293,0,29.6,-34,0,1,4,0.317,13,46.0,1,-30,19,篮网,0
0.293,0,29.6,-34,1,2,11,0.5,1,45.6,0,0,17,步行者,1
0.293,0,29.6,-34,0,2,11,0.5,1,45.6,0,0,17,步行者,0
0.293,0,29.6,-34,1,2,2,0.5,1,45.6,0,0,17,步行者,1
0.293,0,29.6,-34,0,1,3,0.5,1,45.6,0,0,17,步行者,0
0.293,0,29.6,-34,0,3,11,0.61,12,59.3,2,18,15,活塞,0
0.293,0,29.6,-34,1,3,11,0.61,12,59.3,2,18,15,活塞,0
0.293,0,29.6,-34,0,1,1,0.61,12,59.3,2,18,15,活塞,0
0.293,0,29.6,-34,1,2,2,0.61,12,59.3,2,18,15,活塞,1
0.293,0,29.6,-34,0,1,11,0.634,3,40.6,0,22,3,火箭,0
0.293,0,29.6,-34,1,3,3,0.634,3,40.6,0,22,3,火箭,0
0.293,0,29.6,-34,0,1,11,0.402,20,53.6,1,-16,8,骑士,0
0.293,0,29.6,-34,0,1,1,0.402,20,53.6,1,-16,8,骑士,0
0.293,0,29.6,-34,1,6,2,0.402,20,53.6,1,-16,8,骑士,0
0.293,0,29.6,-34,1,3,3,0.402,20,53.6,1,-16,8,骑士,1
0.293,0,29.6,-34,0,2,11,0.317,0,28.4,0,-30,9,黄蜂,1
0.293,0,29.6,-34,1,1,11,0.317,0,28.4,0,-30,9,黄蜂,0
0.293,0,29.6,-34,1,2,2,0.317,0,28.4,0,-30,9,黄蜂,1
0.293,0,29.6,-34,0,2,4,0.317,0,28.4,0,-30,9,黄蜂,0
0.293,0,29.6,-34,0,2,11,0.6829999999999999,4,46.2,0,30,4,凯尔特,0
0.293,0,29.6,-34,1,1,12,0.6829999999999999,4,46.2,0,30,4,凯尔特,0
0.293,0,29.6,-34,0,1,3,0.6829999999999999,4,46.2,0,30,4,凯尔特,0
0.293,0,29.6,-34,1,2,3,0.6829999999999999,4,46.2,0,30,4,凯尔特,1
0.293,0,29.6,-34,0,2,4,0.6829999999999999,4,46.2,0,30,4,凯尔特,0
0.293,0,29.6,-34,1,3,12,0.537,18,55.7,0,6,5,勇士,0
0.293,0,29.6,-34,0,1,4,0.537,18,55.7,0,6,5,勇士,0
0.293,0,29.6,-34,1,3,12,0.768,16,58.2,0,44,10,开拓者,0
0.293,0,29.6,-34,0,1,1,0.768,16,58.2,0,44,10,开拓者,0
0.293,0,29.6,-34,0,5,12,0.47600000000000003,1,42.6,0,-4,21,尼克斯,0
0.293,0,29.6,-34,1,1,12,0.47600000000000003,1,42.6,0,-4,21,尼克斯,0
0.293,0,29.6,-34,1,2,1,0.47600000000000003,1,42.6,0,-4,21,尼克斯,1
0.293,0,29.6,-34,1,2,2,0.47600000000000003,1,42.6,0,-4,21,尼克斯,0
0.293,0,29.6,-34,0,2,3,0.47600000000000003,1,42.6,0,-4,21,尼克斯,0
0.293,0,29.6,-34,1,1,12,0.524,3,42.7,0,4,18,老鹰,0
0.293,0,29.6,-34,0,1,1,0.524,3,42.7,0,4,18,老鹰,0
0.293,0,29.6,-34,1,2,3,0.524,3,42.7,0,4,18,老鹰,0
0.293,0,29.6,-34,0,1,3,0.524,3,42.7,0,4,18,老鹰,0
0.293,0,29.6,-34,0,2,12,0.537,3,45.6,0,6,20,76人,0
0.293,0,29.6,-34,1,2,12,0.537,3,45.6,0,6,20,76人,0
0.293,0,29.6,-34,1,1,2,0.537,3,45.6,0,6,20,76人,0
0.293,0,29.6,-34,0,1,3,0.537,3,45.6,0,6,20,76人,0
0.293,0,29.6,-34,1,2,4,0.537,3,45.6,0,6,20,76人,1
0.293,0,29.6,-34,0,3,12,0.7440000000000001,20,70.4,11,40,13,公牛,0
0.293,0,29.6,-34,1,3,1,0.7440000000000001,20,70.4,11,40,13,公牛,0
0.293,0,29.6,-34,0,3,1,0.7440000000000001,20,70.4,11,40,13,公牛,0
0.293,0,29.6,-34,1,1,4,0.7440000000000001,20,70.4,11,40,13,公牛,0
0.293,0,29.6,-34,1,2,12,0.659,20,60.3,0,26,14,爵士,1
0.293,0,29.6,-34,0,3,1,0.659,20,60.3,0,26,14,爵士,0
0.293,0,29.6,-34,0,3,12,0.6709999999999999,18,54.8,1,28,2,马刺,0
0.293,0,29.6,-34,1,2,3,0.6709999999999999,18,54.8,1,28,2,马刺,0
0.293,0,29.6,-34,0,1,12,0.244,2,45.0,1,-42,12,掘金,1
0.293,0,29.6,-34,1,2,2,0.244,2,45.0,1,-42,12,掘金,1
0.293,0,29.6,-34,0,2,12,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.293,0,29.6,-34,1,1,1,0.6709999999999999,12,51.8,0,28,16,太阳,0
0.293,0,29.6,-34,0,1,12,0.37799999999999995,2,53.0,0,-20,1,快船,1
0.293,0,29.6,-34,1,3,3,0.37799999999999995,2,53.0,0,-20,1,快船,1
0.293,0,29.6,-34,1,3,1,0.305,14,47.9,1,-32,11,国王,1
0.293,0,29.6,-34,0,2,4,0.305,14,47.9,1,-32,11,国王,0
0.293,0,29.6,-34,1,3,1,0.354,0,30.2,0,-24,23,森林狼,0
0.293,0,29.6,-34,0,2,3,0.354,0,30.2,0,-24,23,森林狼,0
0.293,0,29.6,-34,1,3,1,0.37799999999999995,2,43.0,0,-20,22,魔术,1
0.293,0,29.6,-34,0,1,2,0.37799999999999995,2,43.0,0,-20,22,魔术,0
0.293,0,29.6,-34,1,2,3,0.7070000000000001,7,46.1,0,34,6,湖人,0
0.293,0,29.6,-34,0,2,4,0.7070000000000001,7,46.1,0,34,6,湖人,0
0.46299999999999997,8,41.7,-6,1,196,11,0.622,21,63.6,5,20,21,尼克斯,1
0.46299999999999997,8,41.7,-6,0,3,11,0.622,21,63.6,5,20,21,尼克斯,0
0.46299999999999997,8,41.7,-6,0,2,2,0.622,21,63.6,5,20,21,尼克斯,0
0.46299999999999997,8,41.7,-6,1,1,2,0.622,21,63.6,5,20,21,尼克斯,0
0.46299999999999997,8,41.7,-6,0,3,3,0.622,21,63.6,5,20,21,尼克斯,0
0.46299999999999997,8,41.7,-6,1,3,11,0.622,4,46.2,0,20,4,凯尔特,0
0.46299999999999997,8,41.7,-6,0,1,12,0.622,4,46.2,0,20,4,凯尔特,0
0.46299999999999997,8,41.7,-6,1,1,12,0.622,4,46.2,0,20,4,凯尔特,1
0.46299999999999997,8,41.7,-6,1,2,3,0.622,4,46.2,0,20,4,凯尔特,1
0.46299999999999997,8,41.7,-6,0,3,4,0.622,4,46.2,0,20,4,凯尔特,0
0.46299999999999997,8,41.7,-6,0,2,11,0.488,13,46.0,1,-2,19,篮网,1
0.46299999999999997,8,41.7,-6,0,2,1,0.488,13,46.0,1,-2,19,篮网,0
0.46299999999999997,8,41.7,-6,1,1,3,0.488,13,46.0,1,-2,19,篮网,1
0.46299999999999997,8,41.7,-6,1,3,4,0.488,13,46.0,1,-2,19,篮网,0
0.46299999999999997,8,41.7,-6,0,2,11,0.46299999999999997,3,42.7,0,-6,18,老鹰,0
0.46299999999999997,8,41.7,-6,1,1,12,0.46299999999999997,3,42.7,0,-6,18,老鹰,1
0.46299999999999997,8,41.7,-6,1,2,2,0.46299999999999997,3,42.7,0,-6,18,老鹰,1
0.46299999999999997,8,41.7,-6,0,1,3,0.46299999999999997,3,42.7,0,-6,18,老鹰,0
0.46299999999999997,8,41.7,-6,1,4,11,0.585,12,59.3,2,14,15,活塞,1
0.46299999999999997,8,41.7,-6,0,2,1,0.585,12,59.3,2,14,15,活塞,0
0.46299999999999997,8,41.7,-6,1,2,2,0.585,12,59.3,2,14,15,活塞,1
0.46299999999999997,8,41.7,-6,0,2,4,0.585,12,59.3,2,14,15,活塞,0
0.46299999999999997,8,41.7,-6,1,2,11,0.37799999999999995,2,50.5,0,-20,9,黄蜂,1
0.46299999999999997,8,41.7,-6,0,2,12,0.37799999999999995,2,50.5,0,-20,9,黄蜂,1
0.46299999999999997,8,41.7,-6,1,2,2,0.37799999999999995,2,50.5,0,-20,9,黄蜂,1
0.46299999999999997,8,41.7,-6,0,3,2,0.37799999999999995,2,50.5,0,-20,9,黄蜂,0
0.46299999999999997,8,41.7,-6,0,1,11,0.37799999999999995,11,54.9,1,-20,7,雄鹿,1
0.46299999999999997,8,41.7,-6,1,4,1,0.37799999999999995,11,54.9,1,-20,7,雄鹿,1
0.46299999999999997,8,41.7,-6,0,3,2,0.37799999999999995,11,54.9,1,-20,7,雄鹿,1
0.46299999999999997,8,41.7,-6,1,2,4,0.37799999999999995,11,54.9,1,-20,7,雄鹿,1
0.46299999999999997,8,41.7,-6,1,3,11,0.6709999999999999,20,60.3,0,28,14,爵士,1
0.46299999999999997,8,41.7,-6,0,2,12,0.6709999999999999,20,60.3,0,28,14,爵士,0
0.46299999999999997,8,41.7,-6,0,1,11,0.4270000000000001,3,45.6,0,-12,20,76人,0
0.46299999999999997,8,41.7,-6,1,2,11,0.4270000000000001,3,45.6,0,-12,20,76人,1
0.46299999999999997,8,41.7,-6,0,2,12,0.4270000000000001,3,45.6,0,-12,20,76人,0
0.46299999999999997,8,41.7,-6,1,6,2,0.4270000000000001,3,45.6,0,-12,20,76人,0
0.46299999999999997,8,41.7,-6,0,1,4,0.4270000000000001,3,45.6,0,-12,20,76人,0
0.46299999999999997,8,41.7,-6,1,2,11,0.354,14,47.9,1,-24,11,国王,1
0.46299999999999997,8,41.7,-6,0,2,1,0.354,14,47.9,1,-24,11,国王,1
0.46299999999999997,8,41.7,-6,0,1,11,0.488,5,51.4,0,-2,17,步行者,0
0.46299999999999997,8,41.7,-6,1,1,12,0.488,5,51.4,0,-2,17,步行者,1
0.46299999999999997,8,41.7,-6,0,2,1,0.488,5,51.4,0,-2,17,步行者,0
0.46299999999999997,8,41.7,-6,1,2,3,0.488,5,51.4,0,-2,17,步行者,0
0.46299999999999997,8,41.7,-6,1,1,11,0.524,7,46.1,0,4,6,湖人,0
0.46299999999999997,8,41.7,-6,0,1,1,0.524,7,46.1,0,4,6,湖人,0
0.46299999999999997,8,41.7,-6,0,1,11,0.256,2,43.0,0,-40,22,魔术,0
0.46299999999999997,8,41.7,-6,1,2,12,0.256,2,43.0,0,-40,22,魔术,1
0.46299999999999997,8,41.7,-6,0,1,3,0.256,2,43.0,0,-40,22,魔术,1
0.46299999999999997,8,41.7,-6,1,1,4,0.256,2,43.0,0,-40,22,魔术,1
0.46299999999999997,8,41.7,-6,1,3,12,0.695,16,58.2,0,32,10,开拓者,0
0.46299999999999997,8,41.7,-6,0,1,12,0.695,16,58.2,0,32,10,开拓者,0
0.46299999999999997,8,41.7,-6,1,3,12,0.6459999999999999,12,51.8,0,24,16,太阳,0
0.46299999999999997,8,41.7,-6,0,3,12,0.6459999999999999,12,51.8,0,24,16,太阳,0
0.46299999999999997,8,41.7,-6,1,1,12,0.695,20,53.6,1,32,8,骑士,1
0.46299999999999997,8,41.7,-6,0,3,12,0.695,20,53.6,1,32,8,骑士,0
0.46299999999999997,8,41.7,-6,0,3,3,0.695,20,53.6,1,32,8,骑士,0
0.46299999999999997,8,41.7,-6,1,2,4,0.695,20,53.6,1,32,8,骑士,0
0.46299999999999997,8,41.7,-6,1,3,1,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,0,1,1,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,0,1,3,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,1,2,3,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,0,5,4,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,0,2,4,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,1,3,4,0.8170000000000001,20,70.4,11,52,13,公牛,0
0.46299999999999997,8,41.7,-6,1,2,1,0.512,3,40.6,0,2,3,火箭,0
0.46299999999999997,8,41.7,-6,0,2,3,0.512,3,40.6,0,2,3,火箭,0
0.46299999999999997,8,41.7,-6,1,2,1,0.183,2,41.8,0,-52,23,森林狼,1
0.46299999999999997,8,41.7,-6,0,3,3,0.183,2,41.8,0,-52,23,森林狼,1
0.46299999999999997,8,41.7,-6,1,1,2,0.6709999999999999,18,55.7,0,28,5,勇士,1
0.46299999999999997,8,41.7,-6,0,1,2,0.6709999999999999,18,55.7,0,28,5,勇士,0
0.46299999999999997,8,41.7,-6,0,3,2,0.573,18,54.8,1,12,2,马刺,0
0.46299999999999997,8,41.7,-6,1,2,3,0.573,18,54.8,1,12,2,马刺,1
0.46299999999999997,8,41.7,-6,0,1,2,0.293,2,45.0,1,-34,12,掘金,1
0.46299999999999997,8,41.7,-6,1,3,3,0.293,2,45.0,1,-34,12,掘金,1
0.46299999999999997,8,41.7,-6,0,2,2,0.5489999999999999,2,53.0,0,8,1,快船,0
0.46299999999999997,8,41.7,-6,1,3,3,0.5489999999999999,2,53.0,0,8,1,快船,0
0.439,8,41.7,-10,0,191,11,0.5,2,43.0,0,0,22,魔术,0
0.439,8,41.7,-10,1,3,12,0.5,2,43.0,0,0,22,魔术,1
0.439,8,41.7,-10,0,2,1,0.5,2,43.0,0,0,22,魔术,1
0.439,8,41.7,-10,0,3,3,0.5,2,43.0,0,0,22,魔术,0
0.439,8,41.7,-10,1,2,4,0.5,2,43.0,0,0,22,魔术,1
0.439,8,41.7,-10,1,1,11,0.524,12,59.3,2,4,19,篮网,1
0.439,8,41.7,-10,1,1,12,0.524,12,59.3,2,4,19,篮网,0
0.439,8,41.7,-10,0,2,2,0.524,12,59.3,2,4,19,篮网,0
0.439,8,41.7,-10,1,2,3,0.524,12,59.3,2,4,19,篮网,1
0.439,8,41.7,-10,0,2,4,0.524,12,59.3,2,4,19,篮网,0
0.439,8,41.7,-10,1,3,11,0.585,4,46.2,0,14,4,凯尔特,1
0.439,8,41.7,-10,0,2,12,0.585,4,46.2,0,14,4,凯尔特,0
0.439,8,41.7,-10,0,1,3,0.585,4,46.2,0,14,4,凯尔特,0
0.439,8,41.7,-10,1,2,4,0.585,4,46.2,0,14,4,凯尔特,0
0.439,8,41.7,-10,0,2,11,0.488,0,29.6,0,-2,15,活塞,0
0.439,8,41.7,-10,1,3,1,0.488,0,29.6,0,-2,15,活塞,1
0.439,8,41.7,-10,0,2,2,0.488,0,29.6,0,-2,15,活塞,1
0.439,8,41.7,-10,1,2,2,0.488,0,29.6,0,-2,15,活塞,1
0.439,8,41.7,-10,0,2,11,0.537,2,50.5,0,6,9,黄蜂,1
